Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1/9/2020,WIPRO,EQ,254.8,254.25,256.5,252.65,255,253.65,254.33,2495023,6.34552E+13,28366,885016,0.3547
1/10/2020,WIPRO,EQ,253.65,253.95,255.2,251,251.95,251.75,253.15,2056577,5.20622E+13,31607,827981,0.4026
1/13/2020,WIPRO,EQ,251.75,254,257.9,252.85,255.3,254.8,255.37,6963599,1.77826E+14,56180,2651477,0.3808
1/14/2020,WIPRO,EQ,254.8,256.85,258.35,254.55,256,257.2,256.53,7296777,1.87185E+14,62567,2040677,0.2797
1/15/2020,WIPRO,EQ,257.2,254,256,246.6,248.2,248.25,248.86,10140451,2.52354E+14,82450,2235509,0.2205
1/16/2020,WIPRO,EQ,248.25,248,252.6,247,250.3,250.45,250.14,8811836,2.20419E+14,63303,4702404,0.5336
1/17/2020,WIPRO,EQ,250.45,252,253.9,249.65,250.85,251.1,251.84,4140818,1.04282E+14,38092,1785570,0.4312
1/20/2020,WIPRO,EQ,251.1,250.8,250.8,247.2,248.2,248,248.48,1908583,4.74251E+13,19877,541644,0.2838
1/21/2020,WIPRO,EQ,248,247.9,248.2,246,246.85,247.1,247.13,1507942,3.72661E+13,26134,599581,0.3976
1/22/2020,WIPRO,EQ,247.1,248.6,251.95,245.4,246.4,245.85,247.89,3400424,8.42948E+13,51607,1348075,0.3964
1/23/2020,WIPRO,EQ,245.85,246.45,249.1,245.35,248.95,248.7,247.73,1696544,4.20283E+13,30500,741567,0.4371
1/24/2020,WIPRO,EQ,248.7,248.65,249.45,246.25,247.75,247.6,248,1710777,4.2427E+13,23039,593224,0.3468
1/27/2020,WIPRO,EQ,247.6,247.9,247.9,244.75,245.2,245.35,245.52,1653497,4.05969E+13,19616,692324,0.4187
1/28/2020,WIPRO,EQ,245.35,245.9,246.1,241.8,244,244.05,243.42,2136181,5.19984E+13,38147,812178,0.3802
1/29/2020,WIPRO,EQ,244.05,244.6,247.4,243.25,246.3,246.75,246.22,2004689,4.93601E+13,33122,977511,0.4876
1/30/2020,WIPRO,EQ,246.75,247.6,247.6,240.2,240.95,240.7,242.41,2147465,5.20557E+13,29602,1001778,0.4665
1/31/2020,WIPRO,EQ,240.7,238,239.15,235,236.5,236.8,236.84,5553638,1.3153E+14,58779,2563367,0.4616
2/1/2020,WIPRO,EQ,236.8,236.5,239.35,234.3,237.15,236.8,236.5,2100563,4.96778E+13,20180,554095,0.2638
2/3/2020,WIPRO,EQ,236.8,237.7,240.15,235.25,236.8,237.4,237.39,4231830,1.00457E+14,47901,2279484,0.5387
2/4/2020,WIPRO,EQ,237.4,239,241.25,237.9,240.55,240.25,239.57,3164756,7.58192E+13,36774,1765229,0.5578
2/5/2020,WIPRO,EQ,240.25,241.6,243,237.3,242.4,242.25,240.58,3875603,9.32409E+13,44897,2147661,0.5541
2/6/2020,WIPRO,EQ,242.25,242.75,245.95,241.65,243.65,243.65,243.87,3056198,7.45329E+13,32387,1501140,0.4912
2/7/2020,WIPRO,EQ,243.65,247,247,242.95,243.55,243.95,244.49,2759512,6.74665E+13,31057,1013202,0.3672
2/10/2020,WIPRO,EQ,243.95,245.4,245.65,239.45,241.25,240.9,241.01,2258996,5.44447E+13,25746,1153023,0.5104
2/11/2020,WIPRO,EQ,240.9,240.55,242.9,239.8,241.15,241.25,241.15,2730310,6.58427E+13,29387,1586816,0.5812
2/12/2020,WIPRO,EQ,241.25,241.7,247.15,241.7,244.7,244.45,244.84,3419400,8.37221E+13,30707,1492305,0.4364
2/13/2020,WIPRO,EQ,244.45,245.8,245.8,242.5,243.7,243.75,243.73,2414955,5.88607E+13,23979,1249136,0.5173
2/14/2020,WIPRO,EQ,243.75,243.8,245.35,242,243.5,242.9,243.38,1809793,4.40467E+13,23737,939987,0.5194
2/17/2020,WIPRO,EQ,242.9,242.9,245,241.95,243.85,243.8,243.37,1017778,2.47693E+13,12576,351106,0.345
2/18/2020,WIPRO,EQ,243.8,243.75,244.85,241.25,244,244.05,242.94,1252637,3.0431E+13,16527,403218,0.3219
2/19/2020,WIPRO,EQ,244.05,244.5,248.35,244.5,247.95,247.6,246.89,1785384,4.4079E+13,24285,860386,0.4819
2/20/2020,WIPRO,EQ,247.6,248,248.55,245.1,245.85,245.7,246.71,2120807,5.23235E+13,24362,1004565,0.4737
2/24/2020,WIPRO,EQ,245.7,245,247.8,242.4,244.05,244.2,245.45,3521975,8.64472E+13,38370,1805480,0.5126
2/25/2020,WIPRO,EQ,244.2,244.15,246.65,242.45,244,244.1,244.35,2529786,6.18143E+13,23406,1303760,0.5154
2/26/2020,WIPRO,EQ,244.1,243.05,243.45,238.4,239.95,239.9,239.99,3994194,9.58562E+13,35163,2194135,0.5493
2/27/2020,WIPRO,EQ,239.9,238.95,238.95,230.5,231.45,231.6,233.24,4866814,1.13513E+14,63615,1768438,0.3634
2/28/2020,WIPRO,EQ,231.6,228.5,229.5,219.7,222.4,221.45,223.36,5637309,1.25918E+14,75674,2538506,0.4503
3/2/2020,WIPRO,EQ,221.45,225.8,227,218.4,220.65,220.8,223.58,5766175,1.2892E+14,65848,3078019,0.5338
3/3/2020,WIPRO,EQ,220.8,224,225.8,220.6,223.25,223.7,223.1,5173113,1.1541E+14,41834,3302375,0.6384
3/4/2020,WIPRO,EQ,223.7,224.9,229.75,222.45,228.9,228.85,225.53,4518178,1.01897E+14,81745,2179281,0.4823
3/5/2020,WIPRO,EQ,228.85,229.05,233.9,228.65,230.3,229.7,231.29,2970778,6.87113E+13,42428,1058565,0.3563
3/6/2020,WIPRO,EQ,229.7,225,226,222.55,223.25,223.55,224.18,2934283,6.57818E+13,30480,1552423,0.5291
3/9/2020,WIPRO,EQ,223.55,220.2,221,213,215,214.4,215.27,8731114,1.87953E+14,67373,5794746,0.6637
3/11/2020,WIPRO,EQ,214.4,203.7,214.4,203.7,212.95,213.1,211.6,6135166,1.29819E+14,73294,2749445,0.4481
3/12/2020,WIPRO,EQ,213.1,204,206.95,197.5,200,199.1,202.82,5382005,1.09159E+14,63340,2235347,0.4153
3/13/2020,WIPRO,EQ,199.1,199,204.45,169.25,199,197.4,192.96,6521699,1.25841E+14,76155,2130280,0.3266
3/16/2020,WIPRO,EQ,197.4,193.95,193.95,178.55,180,179.75,184.72,5600578,1.03452E+14,91089,2584665,0.4615
3/17/2020,WIPRO,EQ,179.75,178.55,185.55,170.75,173.2,173.1,179.3,6087886,1.09157E+14,53650,2884771,0.4739
3/18/2020,WIPRO,EQ,173.1,176.7,178.5,168.5,171.9,169.95,173.17,6367196,1.10261E+14,65169,2784608,0.4373
3/19/2020,WIPRO,EQ,169.95,165,171.35,159.4,161.8,162.35,166.44,5990642,9.97069E+13,69150,2185057,0.3647
3/20/2020,WIPRO,EQ,162.35,163.1,185.8,162.5,178,179.2,176.72,10160070,1.79554E+14,86219,2660280,0.2618
3/23/2020,WIPRO,EQ,179.2,165,177,165,171.5,170.15,173,5360393,9.27343E+13,56816,2418015,0.4511
3/24/2020,WIPRO,EQ,170.15,168.5,181.75,168.05,178.25,176.35,176.78,6037867,1.06738E+14,78461,1915865,0.3173
3/25/2020,WIPRO,EQ,176.35,177.4,188,170.2,172.5,174.65,175.95,6728276,1.18385E+14,81762,2397808,0.3564
3/26/2020,WIPRO,EQ,174.65,176.95,186.8,172.5,180.6,182.6,180.17,5124357,9.23251E+13,46356,1769443,0.3453
3/27/2020,WIPRO,EQ,182.6,183.15,189.5,181.5,184.65,183.5,185.15,6767560,1.25302E+14,40065,3758545,0.5554
3/30/2020,WIPRO,EQ,183.5,181.1,187.4,179.35,185.25,184.15,184.5,3667803,6.76692E+13,47445,1226199,0.3343
3/31/2020,WIPRO,EQ,184.15,187,199.8,185.65,196.1,196.7,194.94,5307678,1.03466E+14,62061,1789839,0.3372
4/1/2020,WIPRO,EQ,196.7,195.7,195.7,187,188.65,189.5,190.06,4937836,9.38489E+13,63336,2572084,0.5209
4/3/2020,WIPRO,EQ,189.5,188,189.6,177.75,180.15,180,181.23,6573737,1.19135E+14,79843,2690631,0.4093
4/7/2020,WIPRO,EQ,180,188.25,192.7,183.05,191.95,191.9,189.5,4781444,9.06101E+13,56566,1934399,0.4046
4/8/2020,WIPRO,EQ,191.9,191.5,200,188.8,193,192.9,194.98,5137654,1.00174E+14,53517,1739056,0.3385
4/9/2020,WIPRO,EQ,192.9,198.4,202.95,195.05,196.6,196.7,197.6,3465831,6.84832E+13,36684,858786,0.2478
4/13/2020,WIPRO,EQ,196.7,198,198,182.9,189.6,189.2,189.05,6193223,1.1708E+14,69489,1817362,0.2934
4/15/2020,WIPRO,EQ,189.2,190.05,193.6,185.8,186.45,186.55,189.46,11326600,2.14593E+14,112441,3315828,0.2927
4/16/2020,WIPRO,EQ,186.55,180,189.75,180,189,187.85,185.9,21690456,4.03225E+14,150354,4103600,0.1892
4/17/2020,WIPRO,EQ,187.85,192.5,193.75,185.55,187.2,187,188.26,6606453,1.24375E+14,96023,2210202,0.3346
4/20/2020,WIPRO,EQ,187,189,189,180.15,180.55,181.1,183.33,8101663,1.48531E+14,79381,3735374,0.4611
4/21/2020,WIPRO,EQ,181.1,179,179.9,173.8,178.3,178.05,176.98,9043319,1.60048E+14,75722,3454927,0.382
4/22/2020,WIPRO,EQ,178.05,177,179.5,175.05,178.3,178.55,177.59,5311640,9.43281E+13,62150,2169513,0.4084
4/23/2020,WIPRO,EQ,178.55,179.4,182.6,177.1,181,180.9,180.23,5555420,1.00124E+14,54314,2444423,0.44
4/24/2020,WIPRO,EQ,180.9,179.95,180.8,177.15,178.2,177.75,178.12,4641140,8.26674E+13,50379,2393295,0.5157
4/27/2020,WIPRO,EQ,177.75,180,182.9,175.5,182.4,182.05,179.43,9141635,1.64029E+14,84011,3526120,0.3857
4/28/2020,WIPRO,EQ,182.05,182.1,182.95,178,180.35,179.7,179.49,6664917,1.19629E+14,51736,3419558,0.5131
4/29/2020,WIPRO,EQ,179.7,180.1,182.45,179.4,180.8,180.65,180.9,5030900,9.1011E+13,50928,2529720,0.5028
4/30/2020,WIPRO,EQ,180.65,185,192.6,183.55,191.15,190.95,188.19,8833932,1.66242E+14,83434,3957684,0.448
5/4/2020,WIPRO,EQ,190.95,184.5,191.3,183.05,190.3,190.05,188.51,8570375,1.61563E+14,72943,3573217,0.4169
5/5/2020,WIPRO,EQ,190.05,191.45,194,182.2,185.85,184.2,187.31,6932589,1.29856E+14,59026,2217581,0.3199
5/6/2020,WIPRO,EQ,184.2,185.7,188,181,186.95,187.05,185.91,5442793,1.01187E+14,54797,1969808,0.3619
5/7/2020,WIPRO,EQ,187.05,184,185.4,181.2,184.25,184.1,183.62,5701094,1.04683E+14,66725,1799187,0.3156
5/8/2020,WIPRO,EQ,184.1,185.2,186,182.55,183.85,184,184.24,4113747,7.57908E+13,52916,1594100,0.3875
5/11/2020,WIPRO,EQ,184,185,189.95,184.1,184.95,184.7,187.07,4393928,8.21994E+13,37691,1390710,0.3165
5/12/2020,WIPRO,EQ,184.7,184.2,188,182.6,186.5,187.05,185.81,3515679,6.53262E+13,47880,636191,0.181
5/13/2020,WIPRO,EQ,187.05,191.5,191.5,185.15,190.3,189.7,188.53,5280548,9.95525E+13,56504,1480181,0.2803
5/14/2020,WIPRO,EQ,189.7,184.75,187.35,183.1,185.7,186,185.49,5162330,9.57558E+13,51701,2160528,0.4185
5/15/2020,WIPRO,EQ,186,186,186,182.65,183.6,183.8,184.48,3425171,6.31884E+13,35083,1448770,0.423
5/18/2020,WIPRO,EQ,183.8,182.05,185,179.6,182.25,182.2,182.35,7227687,1.31799E+14,52137,1832090,0.2535
5/19/2020,WIPRO,EQ,182.2,182.25,186,178,184.8,184.4,183.01,5743344,1.05111E+14,59514,2212743,0.3853
5/20/2020,WIPRO,EQ,184.4,185,185.9,182.2,185,184.95,184.14,7707953,1.41932E+14,58552,2665779,0.3458
5/21/2020,WIPRO,EQ,184.95,183.4,191.7,183.4,189.05,189.1,188.7,7129397,1.34531E+14,52137,2121392,0.2976
5/22/2020,WIPRO,EQ,189.1,189.05,190.85,186.45,189.5,189,188.73,4588831,8.66035E+13,35230,766469,0.167
5/26/2020,WIPRO,EQ,189,189,193.2,185.7,189.6,188.8,190.05,5911144,1.12342E+14,63196,1251077,0.2116
5/27/2020,WIPRO,EQ,188.8,189.6,205.5,187.7,201.8,201.25,195.53,18083494,3.53579E+14,106522,6466503,0.3576
5/28/2020,WIPRO,EQ,201.25,203.5,203.5,196.05,199.4,199.35,198.81,12347801,2.45489E+14,101956,2872869,0.2327
5/29/2020,WIPRO,EQ,199.35,199.35,214.9,196.15,211.9,212.8,208.47,30630218,6.38562E+14,205122,7861782,0.2567
6/1/2020,WIPRO,EQ,212.8,215.5,221,213.4,214.8,215.05,217.29,13374769,2.90623E+14,107515,3264541,0.2441
6/2/2020,WIPRO,EQ,215.05,215.1,218.55,210.95,216.45,215.85,215.74,6407279,1.38229E+14,60225,965162,0.1506
6/3/2020,WIPRO,EQ,215.85,216.1,217.45,210.55,212.1,211.35,212.6,8422156,1.79057E+14,77553,2522401,0.2995
6/4/2020,WIPRO,EQ,211.35,211.35,219.95,210.15,219.6,216.25,213.84,7397708,1.58194E+14,63620,2524755,0.3413
6/5/2020,WIPRO,EQ,216.25,220,220.25,215,218.8,218.75,217.89,7245834,1.57878E+14,65850,1952875,0.2695
6/8/2020,WIPRO,EQ,218.75,219,227.3,215.85,225.5,226.45,222.96,12213696,2.72321E+14,107881,3082462,0.2524
6/9/2020,WIPRO,EQ,226.45,224.1,226.3,217.15,218.1,218.35,222.64,7845381,1.74668E+14,66958,1942997,0.2477
6/10/2020,WIPRO,EQ,218.35,220,221.05,215.6,216.4,217,217.98,7394276,1.61177E+14,62139,1572058,0.2126
6/11/2020,WIPRO,EQ,217,217,217.65,212.35,213.05,212.9,215.5,6248955,1.34665E+14,58639,2110663,0.3378
6/12/2020,WIPRO,EQ,212.9,208,209.5,206.3,208.1,207.9,207.96,6209370,1.2913E+14,56578,1028570,0.1656
6/15/2020,WIPRO,EQ,207.9,211.95,217.9,208.15,213.3,213.8,213.18,14256050,3.03917E+14,82008,2174604,0.1525
6/16/2020,WIPRO,EQ,213.8,217.45,217.9,209.6,211.9,212.4,213.89,7960887,1.70275E+14,60317,1008148,0.1266
6/17/2020,WIPRO,EQ,212.4,212,218.75,211.05,217.6,217.8,216.87,13969454,3.02955E+14,80014,3757319,0.269
6/18/2020,WIPRO,EQ,217.8,216.8,219.3,214.65,218.3,218.15,217.51,6204216,1.34945E+14,63152,2244241,0.3617
6/19/2020,WIPRO,EQ,218.15,218,224.1,215,222.9,222.05,219.42,11223711,2.46276E+14,63633,5424173,0.4833
6/22/2020,WIPRO,EQ,222.05,221.15,221.75,216.8,218.2,218.05,218.21,6481204,1.41426E+14,46237,1879662,0.29
6/23/2020,WIPRO,EQ,218.05,215,222.3,213,220.2,220.6,219.1,7425152,1.62682E+14,57371,1248952,0.3269
6/24/2020,WIPRO,EQ,220.6,224,224,217.55,218.6,218.2,219.54,8246086,1.81038E+14,54655,3305298,0.4008
6/25/2020,WIPRO,EQ,218.2,216.95,222,215.3,217.75,218.2,219.18,5096856,1.11715E+14,50544,1358094,0.2665
6/26/2020,WIPRO,EQ,218.2,219.3,230,218.3,225.35,225.45,226.27,19194612,4.34313E+14,123724,4260176,0.2219
6/29/2020,WIPRO,EQ,225.45,222.05,225.9,218.7,219.2,219.7,221.82,6687961,1.48352E+14,52424,1154429,0.1726
6/30/2020,WIPRO,EQ,219.7,219.6,221.95,218,219.7,219.65,220.06,5501193,1.21061E+14,47416,1255451,0.2282
